2017-12-17 09:34:38.420545: I C:\tf_jenkins\home\workspace\rel-win\M\windows-gpu\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2017-12-17 09:34:38.835796: I C:\tf_jenkins\home\workspace\rel-win\M\windows-gpu\PY\35\tensorflow\core\common_runtime\gpu\gpu_device.cc:1030] Found device 0 with properties: 
132 84 [[0 4 5 8]] [[0 4 5 8]]
133 85 [[0 4 6 1]] [[0 4 6 1]]
134 86 [[0 4 6 2]] [[0 4 6 2]]
135 87 [[0 4 6 3]] [[0 4 6 3]]
136 88 [[0 4 6 3]] [[0 4 6 3]]
137 89 [[0 4 6 4]] [[0 4 6 4]]
138 90 [[0 4 6 5]] [[0 4 6 5]]
139 91 [[0 4 6 5]] [[0 4 6 5]]
140 92 [[0 4 6 5]] [[0 4 6 5]]
141 93 [[0 4 8 2]] [[0 4 8 2]]
142 94 [[0 4 8 3]] [[0 4 8 3]]
143 95 [[0 4 8 4]] [[0 4 8 4]]
144 96 [[0 4 8 5]] [[0 4 8 5]]
145 97 [[0 4 8 5]] [[0 4 8 5]]
146 98 [[0 4 8 5]] [[0 4 8 5]]
147 99 [[0 4 8 6]] [[0 4 8 6]]
148 100 [[0 4 8 6]] [[0 4 8 6]]
149 100 [[0 4 8 3]] [[0 4 8 7]]
150 101 [[0 4 8 7]] [[0 4 8 7]]
151 101 [[0 4 8 4]] [[0 4 9 4]]
152 101 [[0 4 8 5]] [[0 4 9 5]]
153 102 [[0 4 9 6]] [[0 4 9 6]]
154 102 [[0 4 1 7]] [[0 5 0 3]]
155 102 [[0 4 8 5]] [[0 5 0 5]]
156 102 [[0 3 8 7]] [[0 5 0 7]]
157 102 [[0 4 1 3]] [[0 5 1 3]]
158 103 [[0 5 1 6]] [[0 5 1 6]]
159 103 [[0 5 1 8]] [[0 5 1 9]]
160 103 [[0 5 1 0]] [[0 5 2 0]]
161 103 [[0 5 0 3]] [[0 5 2 3]]
162 104 [[0 5 2 4]] [[0 5 2 4]]
163 105 [[0 5 2 5]] [[0 5 2 5]]
164 106 [[0 5 2 6]] [[0 5 2 6]]
165 107 [[0 5 2 6]] [[0 5 2 6]]
166 108 [[0 5 3 2]] [[0 5 3 2]]
167 109 [[0 5 3 3]] [[0 5 3 3]]
168 109 [[0 5 9 5]] [[0 5 3 5]]
169 110 [[0 5 3 8]] [[0 5 3 8]]
170 111 [[0 5 3 9]] [[0 5 3 9]]
171 112 [[0 5 4 0]] [[0 5 4 0]]
172 113 [[0 5 4 2]] [[0 5 4 2]]
173 114 [[0 5 4 2]] [[0 5 4 2]]
174 115 [[0 5 4 3]] [[0 5 4 3]]
175 116 [[0 5 4 5]] [[0 5 4 5]]
176 117 [[0 5 4 6]] [[0 5 4 6]]
177 117 [[0 5 4 0]] [[0 5 4 8]]
178 118 [[0 5 4 8]] [[0 5 4 8]]
179 119 [[0 5 4 9]] [[0 5 4 9]]
180 120 [[0 5 4 9]] [[0 5 4 9]]
181 121 [[0 5 5 1]] [[0 5 5 1]]
182 121 [[0 5 5 2]] [[0 5 5 1]]
183 122 [[0 5 5 2]] [[0 5 5 2]]
184 123 [[0 5 5 2]] [[0 5 5 2]]
185 124 [[0 5 5 2]] [[0 5 5 2]]
186 125 [[0 5 5 3]] [[0 5 5 3]]
187 125 [[0 5 3 4]] [[0 5 5 4]]
188 125 [[0 5 3 5]] [[0 5 5 5]]
189 125 [[0 5 6 4]] [[0 5 6 0]]
190 125 [[0 5 6 3]] [[0 5 6 7]]
191 126 [[0 5 6 8]] [[0 5 6 8]]
192 127 [[0 5 6 8]] [[0 5 6 8]]
193 127 [[0 5 5 9]] [[0 5 6 9]]
194 128 [[0 5 6 9]] [[0 5 6 9]]
195 128 [[0 5 2 5]] [[0 5 7 5]]
196 129 [[0 5 7 5]] [[0 5 7 5]]
197 130 [[0 5 8 2]] [[0 5 8 2]]
198 131 [[0 5 8 4]] [[0 5 8 4]]
199 131 [[0 5 4 9]] [[0 5 8 9]]
200 132 [[0 5 9 0]] [[0 5 9 0]]
201 133 [[0 5 9 4]] [[0 5 9 4]]
202 134 [[0 5 9 6]] [[0 5 9 6]]
203 135 [[0 5 9 8]] [[0 5 9 8]]
204 135 [[0 5 9 8]] [[0 5 9 9]]
205 135 [[0 5 0 2]] [[0 6 0 2]]
206 136 [[0 6 0 4]] [[0 6 0 4]]
207 136 [[0 5 0 5]] [[0 6 0 5]]
208 136 [[0 5 0 5]] [[0 6 0 5]]
209 137 [[0 6 0 6]] [[0 6 0 6]]
210 138 [[0 6 1 5]] [[0 6 1 5]]
211 138 [[0 5 2 1]] [[0 6 2 1]]
212 138 [[0 6 1 8]] [[0 6 2 8]]
213 139 [[0 6 2 9]] [[0 6 2 9]]
214 140 [[0 6 3 0]] [[0 6 3 0]]
215 141 [[0 6 3 1]] [[0 6 3 1]]
216 142 [[0 6 3 1]] [[0 6 3 1]]
217 143 [[0 6 3 1]] [[0 6 3 1]]
218 144 [[0 6 3 2]] [[0 6 3 2]]
219 145 [[0 6 3 5]] [[0 6 3 5]]
220 146 [[0 6 3 6]] [[0 6 3 6]]
221 147 [[0 6 3 8]] [[0 6 3 8]]
222 148 [[0 6 3 9]] [[0 6 3 9]]
223 149 [[0 6 4 4]] [[0 6 4 4]]
224 150 [[0 6 4 5]] [[0 6 4 5]]
225 151 [[0 6 4 9]] [[0 6 4 9]]
226 152 [[0 6 4 9]] [[0 6 4 9]]
227 153 [[0 6 5 6]] [[0 6 5 6]]
228 154 [[0 6 5 7]] [[0 6 5 7]]
229 155 [[0 6 5 8]] [[0 6 5 8]]
230 156 [[0 6 5 9]] [[0 6 5 9]]
231 157 [[0 6 5 9]] [[0 6 5 9]]
232 157 [[0 6 9 9]] [[0 6 5 9]]
233 158 [[0 6 6 0]] [[0 6 6 0]]
234 159 [[0 6 6 1]] [[0 6 6 1]]
235 160 [[0 6 6 2]] [[0 6 6 2]]
236 161 [[0 6 6 3]] [[0 6 6 3]]
237 161 [[0 6 6 1]] [[0 6 6 7]]
238 162 [[0 6 6 9]] [[0 6 6 9]]
239 162 [[0 6 2 6]] [[0 6 7 6]]
240 163 [[0 6 7 9]] [[0 6 7 9]]
241 163 [[0 6 3 9]] [[0 6 7 9]]
242 164 [[0 6 8 3]] [[0 6 8 3]]
243 165 [[0 6 8 9]] [[0 6 8 9]]
244 165 [[0 6 9 8]] [[0 6 9 4]]
245 166 [[0 6 9 6]] [[0 6 9 6]]
246 167 [[0 6 9 8]] [[0 6 9 8]]
247 167 [[0 3 0 8]] [[0 7 0 8]]
248 167 [[0 3 8 8]] [[0 7 0 8]]
249 167 [[0 6 1 9]] [[0 7 1 9]]
250 167 [[0 2 2 4]] [[0 7 2 1]]
251 167 [[0 2 2 4]] [[0 7 2 4]]
252 167 [[0 1 3 4]] [[0 7 3 4]]
253 168 [[0 7 3 5]] [[0 7 3 5]]
254 169 [[0 7 3 6]] [[0 7 3 6]]
255 169 [[0 2 5 1]] [[0 7 5 1]]
256 170 [[0 7 5 5]] [[0 7 5 5]]
257 171 [[0 7 5 9]] [[0 7 5 9]]
258 172 [[0 7 6 4]] [[0 7 6 4]]
259 173 [[0 7 7 9]] [[0 7 7 9]]
260 174 [[0 7 8 3]] [[0 7 8 3]]
261 175 [[0 7 8 3]] [[0 7 8 3]]
262 175 [[0 7 0 6]] [[0 7 8 6]]
263 176 [[0 7 8 9]] [[0 7 8 9]]
264 177 [[0 7 9 5]] [[0 7 9 5]]
265 178 [[0 7 9 8]] [[0 7 9 8]]
266 178 [[0 6 0 2]] [[0 8 0 2]]
267 178 [[0 7 0 2]] [[0 8 0 2]]
268 178 [[0 6 7 7]] [[0 8 1 3]]
269 178 [[0 7 7 5]] [[0 8 1 5]]
270 178 [[0 7 1 9]] [[0 8 1 9]]
271 178 [[0 7 2 1]] [[0 8 2 1]]
272 178 [[0 7 3 3]] [[0 8 2 3]]
273 178 [[0 6 2 6]] [[0 8 2 6]]
274 178 [[0 8 2 3]] [[0 8 2 7]]
275 179 [[0 8 2 8]] [[0 8 2 8]]
276 180 [[0 8 3 2]] [[0 8 3 2]]
277 181 [[0 8 3 3]] [[0 8 3 3]]
278 182 [[0 8 3 4]] [[0 8 3 4]]
279 183 [[0 8 3 6]] [[0 8 3 6]]
280 184 [[0 8 3 9]] [[0 8 3 9]]
281 185 [[0 8 3 9]] [[0 8 3 9]]
282 185 [[0 8 4 7]] [[0 8 4 0]]
283 185 [[0 8 4 8]] [[0 8 4 0]]
284 186 [[0 8 4 1]] [[0 8 4 1]]
285 187 [[0 8 4 7]] [[0 8 4 7]]
286 188 [[0 8 4 9]] [[0 8 4 9]]
287 189 [[0 8 5 1]] [[0 8 5 1]]
288 190 [[0 8 5 2]] [[0 8 5 2]]
289 191 [[0 8 5 9]] [[0 8 5 9]]
290 192 [[0 8 6 2]] [[0 8 6 2]]
291 193 [[0 8 6 3]] [[0 8 6 3]]
292 194 [[0 8 6 3]] [[0 8 6 3]]
293 195 [[0 8 6 4]] [[0 8 6 4]]
294 195 [[0 8 2 0]] [[0 8 7 0]]
295 195 [[0 8 3 6]] [[0 8 7 6]]
296 196 [[0 8 8 2]] [[0 8 8 2]]
297 196 [[0 8 4 4]] [[0 8 8 4]]
298 197 [[0 8 9 2]] [[0 8 9 2]]
299 198 [[0 8 9 2]] [[0 8 9 2]]
300 199 [[0 8 9 2]] [[0 8 9 2]]
301 200 [[0 8 9 3]] [[0 8 9 3]]
302 201 [[0 8 9 4]] [[0 8 9 4]]
303 202 [[0 8 9 5]] [[0 8 9 5]]
304 203 [[0 8 9 6]] [[0 8 9 6]]
305 204 [[0 8 9 6]] [[0 8 9 6]]
306 205 [[0 8 9 9]] [[0 8 9 9]]
307 205 [[0 8 0 2]] [[0 9 0 2]]
308 205 [[0 8 0 5]] [[0 9 0 5]]
309 205 [[0 8 7 2]] [[0 9 1 2]]
310 205 [[0 8 0 3]] [[0 9 1 3]]
311 205 [[0 9 2 8]] [[0 9 1 8]]
312 205 [[0 8 2 3]] [[0 9 2 3]]
313 206 [[0 9 2 4]] [[0 9 2 4]]
314 207 [[0 9 2 4]] [[0 9 2 4]]
315 208 [[0 9 2 6]] [[0 9 2 6]]
316 209 [[0 9 2 8]] [[0 9 2 8]]
317 209 [[0 9 2 0]] [[0 9 2 8]]
318 210 [[0 9 3 0]] [[0 9 3 0]]
319 211 [[0 9 3 1]] [[0 9 3 1]]
320 212 [[0 9 3 1]] [[0 9 3 1]]
321 213 [[0 9 3 1]] [[0 9 3 1]]
322 214 [[0 9 3 6]] [[0 9 3 6]]
323 215 [[0 9 3 8]] [[0 9 3 8]]
324 216 [[0 9 4 0]] [[0 9 4 0]]
325 217 [[0 9 4 0]] [[0 9 4 0]]
326 218 [[0 9 4 2]] [[0 9 4 2]]
327 219 [[0 9 4 4]] [[0 9 4 4]]
328 220 [[0 9 4 6]] [[0 9 4 6]]
329 220 [[0 9 4 3]] [[0 9 4 7]]
330 221 [[0 9 4 8]] [[0 9 4 8]]
331 222 [[0 9 4 9]] [[0 9 4 9]]
332 223 [[0 9 5 1]] [[0 9 5 1]]
333 224 [[0 9 6 5]] [[0 9 6 5]]
334 225 [[0 9 6 6]] [[0 9 6 6]]
335 226 [[0 9 6 8]] [[0 9 6 8]]
336 226 [[0 9 1 8]] [[0 9 7 0]]
337 227 [[0 9 7 0]] [[0 9 7 0]]
338 227 [[0 9 1 1]] [[0 9 7 1]]
339 227 [[0 9 7 0]] [[0 9 7 7]]
340 227 [[0 9 9 2]] [[0 9 8 2]]
341 228 [[0 9 8 9]] [[0 9 8 9]]
342 229 [[0 9 8 9]] [[0 9 8 9]]
343 229 [[0 9 9 1]] [[0 9 9 0]]
344 229 [[0 9 9 1]] [[0 9 9 2]]
345 230 [[0 9 9 3]] [[0 9 9 3]]
346 231 [[0 9 9 3]] [[0 9 9 3]]
347 232 [[0 9 9 8]] [[0 9 9 8]]
348 232 [[0 7 8 4]] [[1 0 1 4]]
349 232 [[0 8 2 2]] [[1 0 2 2]]
350 232 [[0 9 2 3]] [[1 0 2 3]]
351 232 [[0 8 0 3]] [[1 0 2 3]]
352 232 [[0 9 2 5]] [[1 0 2 5]]
353 232 [[0 9 2 8]] [[1 0 2 8]]
354 232 [[0 7 3 8]] [[1 0 3 8]]
355 232 [[0 0 4 1]] [[1 0 4 1]]
356 232 [[3 0 4 4]] [[1 0 4 4]]
357 233 [[1 0 4 9]] [[1 0 4 9]]
358 233 [[0 0 5 5]] [[1 0 5 5]]
359 234 [[1 0 5 5]] [[1 0 5 5]]
360 234 [[1 0 6 6]] [[1 0 5 6]]
361 235 [[1 0 7 8]] [[1 0 7 8]]
362 236 [[1 0 9 2]] [[1 0 9 2]]
363 237 [[1 0 9 4]] [[1 0 9 4]]
364 237 [[1 0 1 5]] [[1 1 1 5]]
365 237 [[1 0 2 9]] [[1 1 2 9]]
366 237 [[1 7 3 0]] [[1 1 3 0]]
367 237 [[1 0 5 2]] [[1 1 3 2]]
368 237 [[1 0 3 3]] [[1 1 3 3]]
369 237 [[1 0 5 2]] [[1 1 5 2]]
370 237 [[1 7 5 6]] [[1 1 5 6]]
371 237 [[1 7 6 6]] [[1 1 6 6]]
372 238 [[1 1 7 6]] [[1 1 7 6]]
373 239 [[1 1 8 5]] [[1 1 8 5]]
374 239 [[1 7 8 8]] [[1 1 8 8]]
375 240 [[1 1 9 2]] [[1 1 9 2]]
376 240 [[1 1 8 2]] [[1 1 9 2]]
377 241 [[1 1 9 4]] [[1 1 9 4]]
378 242 [[1 1 9 4]] [[1 1 9 4]]
379 243 [[1 1 9 5]] [[1 1 9 5]]
380 243 [[1 1 9 0]] [[1 1 9 8]]
381 243 [[1 0 0 3]] [[1 2 0 3]]
382 243 [[1 1 0 5]] [[1 2 0 5]]
383 243 [[1 2 7 3]] [[1 2 1 3]]
384 244 [[1 2 2 2]] [[1 2 2 2]]
385 245 [[1 2 2 2]] [[1 2 2 2]]
386 246 [[1 2 2 8]] [[1 2 2 8]]
387 247 [[1 2 3 5]] [[1 2 3 5]]
388 247 [[1 1 3 6]] [[1 2 3 6]]
389 248 [[1 2 4 3]] [[1 2 4 3]]
390 249 [[1 2 4 3]] [[1 2 4 3]]
391 249 [[1 1 4 4]] [[1 2 4 4]]
392 250 [[1 2 4 5]] [[1 2 4 5]]
393 250 [[1 1 4 6]] [[1 2 4 6]]
394 251 [[1 2 4 8]] [[1 2 4 8]]
395 252 [[1 2 4 9]] [[1 2 4 9]]
396 253 [[1 2 5 2]] [[1 2 5 2]]
397 254 [[1 2 5 2]] [[1 2 5 2]]
398 255 [[1 2 5 3]] [[1 2 5 3]]
399 256 [[1 2 5 3]] [[1 2 5 3]]
400 257 [[1 2 5 4]] [[1 2 5 4]]
401 258 [[1 2 5 4]] [[1 2 5 4]]
402 259 [[1 2 5 4]] [[1 2 5 4]]
403 259 [[1 2 5 3]] [[1 2 5 7]]
404 260 [[1 2 5 7]] [[1 2 5 7]]
405 261 [[1 2 5 7]] [[1 2 5 7]]
406 262 [[1 2 5 8]] [[1 2 5 8]]
407 263 [[1 2 6 2]] [[1 2 6 2]]
408 264 [[1 2 6 2]] [[1 2 6 2]]
409 265 [[1 2 6 2]] [[1 2 6 2]]
410 266 [[1 2 6 2]] [[1 2 6 2]]
411 267 [[1 2 6 8]] [[1 2 6 8]]
412 267 [[1 2 3 3]] [[1 2 7 3]]
413 268 [[1 2 7 4]] [[1 2 7 4]]
414 268 [[1 2 2 4]] [[1 2 7 4]]
415 269 [[1 2 7 7]] [[1 2 7 7]]
416 270 [[1 2 8 5]] [[1 2 8 5]]
417 271 [[1 2 8 5]] [[1 2 8 5]]
418 272 [[1 2 8 7]] [[1 2 8 7]]
419 272 [[1 2 9 9]] [[1 2 8 9]]
420 273 [[1 2 9 2]] [[1 2 9 2]]
421 274 [[1 2 9 3]] [[1 2 9 3]]
422 275 [[1 2 9 7]] [[1 2 9 7]]
423 276 [[1 2 9 9]] [[1 2 9 9]]
424 277 [[1 2 9 9]] [[1 2 9 9]]
425 278 [[1 3 0 6]] [[1 3 0 6]]
426 279 [[1 3 0 6]] [[1 3 0 6]]
427 279 [[1 3 7 7]] [[1 3 1 1]]
428 279 [[1 9 7 7]] [[1 3 1 7]]
429 279 [[1 3 7 8]] [[1 3 1 8]]
430 279 [[1 3 7 0]] [[1 3 2 0]]
431 280 [[1 3 2 2]] [[1 3 2 2]]
432 281 [[1 3 2 2]] [[1 3 2 2]]
433 282 [[1 3 2 4]] [[1 3 2 4]]
434 282 [[1 2 7 5]] [[1 3 2 5]]
435 282 [[1 3 7 5]] [[1 3 2 5]]
436 283 [[1 3 2 6]] [[1 3 2 6]]
437 284 [[1 3 3 1]] [[1 3 3 1]]
438 285 [[1 3 3 2]] [[1 3 3 2]]
439 286 [[1 3 3 4]] [[1 3 3 4]]
440 286 [[1 3 1 6]] [[1 3 3 6]]
441 287 [[1 3 3 9]] [[1 3 3 9]]
442 287 [[1 3 9 1]] [[1 3 3 9]]
443 288 [[1 3 4 4]] [[1 3 4 4]]
444 289 [[1 3 5 1]] [[1 3 5 1]]
445 290 [[1 3 5 4]] [[1 3 5 4]]
446 291 [[1 3 5 6]] [[1 3 5 6]]
447 292 [[1 3 5 9]] [[1 3 5 9]]
448 293 [[1 3 5 9]] [[1 3 5 9]]
449 293 [[1 3 4 4]] [[1 3 6 1]]
450 294 [[1 3 6 2]] [[1 3 6 2]]
451 295 [[1 3 6 8]] [[1 3 6 8]]
452 295 [[1 3 2 0]] [[1 3 7 0]]
453 295 [[1 3 2 2]] [[1 3 7 2]]
454 295 [[1 3 2 4]] [[1 3 7 4]]
455 295 [[1 3 2 8]] [[1 3 7 8]]
456 296 [[1 3 8 0]] [[1 3 8 0]]
457 297 [[1 3 8 1]] [[1 3 8 1]]
458 298 [[1 3 8 4]] [[1 3 8 4]]
459 299 [[1 3 8 4]] [[1 3 8 4]]
460 300 [[1 3 8 5]] [[1 3 8 5]]
461 301 [[1 3 8 5]] [[1 3 8 5]]
462 302 [[1 3 8 6]] [[1 3 8 6]]
463 303 [[1 3 8 8]] [[1 3 8 8]]
464 304 [[1 3 9 1]] [[1 3 9 1]]
465 305 [[1 3 9 4]] [[1 3 9 4]]
466 305 [[1 3 8 4]] [[1 3 9 4]]
467 306 [[1 3 9 6]] [[1 3 9 6]]
468 307 [[1 3 9 9]] [[1 3 9 9]]
469 307 [[1 0 8 3]] [[1 4 0 3]]
470 307 [[1 4 8 5]] [[1 4 0 5]]
471 308 [[1 4 0 5]] [[1 4 0 5]]
472 309 [[1 4 1 3]] [[1 4 1 3]]
473 310 [[1 4 1 9]] [[1 4 1 9]]
474 311 [[1 4 2 2]] [[1 4 2 2]]
475 311 [[1 3 2 4]] [[1 4 2 4]]
476 311 [[1 3 2 4]] [[1 4 2 4]]
477 312 [[1 4 2 6]] [[1 4 2 6]]
478 313 [[1 4 3 0]] [[1 4 3 0]]
479 314 [[1 4 3 5]] [[1 4 3 5]]
480 315 [[1 4 3 5]] [[1 4 3 5]]
481 316 [[1 4 3 8]] [[1 4 3 8]]
482 317 [[1 4 4 2]] [[1 4 4 2]]
483 317 [[1 4 9 9]] [[1 4 4 9]]
484 318 [[1 4 5 2]] [[1 4 5 2]]
485 319 [[1 4 5 3]] [[1 4 5 3]]
486 320 [[1 4 5 3]] [[1 4 5 3]]
487 321 [[1 4 5 5]] [[1 4 5 5]]
488 322 [[1 4 5 6]] [[1 4 5 6]]
489 323 [[1 4 5 7]] [[1 4 5 7]]
490 324 [[1 4 6 2]] [[1 4 6 2]]
491 325 [[1 4 6 2]] [[1 4 6 2]]
492 326 [[1 4 6 9]] [[1 4 6 9]]
493 326 [[1 4 3 2]] [[1 4 7 2]]
